id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
022d2789-04dc-46ab-8dbb-3444e5cfe4ea,72,El Haouaita,72000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Boulhilat,,,,,,,,,1
23b26c4b-6c06-43cf-a2fc-2fcc6ea0805f,73,Gueltat Sidi Saad,73000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Boumagueur,,,,,,,,,1
92ad069a-6696-499c-b35a-5915b05a9645,74,Hadj Mechri,74000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Boumia,,,,,,,,,1
3d051cd5-38c5-4042-b73a-9635ea2126a7,75,Hassi Delaa,75000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Bouzina,,,,,,,,,1
ac24a80b-4caa-48ef-97ce-9ad54c5cfa32,76,Hassi R'mel,76000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Chemora,,,,,,,,,3
8e5d56ff-97e6-4297-a350-8c95c4c9cfc1,77,Kheneg,77000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Chir,,,,,,,,,2
7d745351-6ee4-4a44-8891-56c1109afb53,78,Ksar El Hirane,78000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Djerma,,,,,,,,,3
5966de94-d813-4e57-aee2-42566cc48be6,79,Laghouat,79000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Djezzar,,,,,,,,,1
8cc7e2e0-f103-4186-bf51-be00e78af529,80,Oued Morra,80000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,El Hassi,,,,,,,,,1
f272cc93-9cfe-4763-b58a-a07432fe722c,81,Oued M'zi,81000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,El Madher,,,,,,,,,1
